VI	BI[0]	BI[1]	BI[2]	BI[3]	BW[0]	BW[1]	BW[2]	BW[3]
9964	11	0	0	0	1	0	0	0
9965	11	0	0	0	1	0	0	0
9966	30	34	0	0	0.25	0.75	0	0
9967	34	35	0	0	0.75	0.25	0	0
9968	30	34	0	0	0.25	0.75	0	0
9969	11	0	0	0	1	0	0	0
9970	11	0	0	0	1	0	0	0
9971	11	0	0	0	1	0	0	0
9972	11	0	0	0	1	0	0	0
9973	4	0	0	0	1	0	0	0
9974	4	0	0	0	1	0	0	0
9975	4	0	0	0	1	0	0	0
9976	4	0	0	0	1	0	0	0
9977	11	0	0	0	1	0	0	0
9978	11	0	0	0	1	0	0	0
9979	11	0	0	0	1	0	0	0
9980	11	0	0	0	1	0	0	0
9981	4	0	0	0	1	0	0	0
9982	4	0	0	0	1	0	0	0
9983	4	0	0	0	1	0	0	0
9984	4	0	0	0	1	0	0	0
9985	11	0	0	0	1	0	0	0
9986	11	0	0	0	1	0	0	0
9987	11	0	0	0	1	0	0	0
9988	11	0	0	0	1	0	0	0
9989	4	5	0	0	0.5	0.5	0	0
9990	4	5	0	0	0.5	0.5	0	0
9991	4	5	0	0	0.5	0.5	0	0
9992	4	5	0	0	0.5	0.5	0	0
9993	11	0	0	0	1	0	0	0
9994	11	0	0	0	1	0	0	0
9995	11	0	0	0	1	0	0	0
9996	11	0	0	0	1	0	0	0
9997	4	26	27	0	0.45	0.1	0.45	0
9998	4	5	27	0	0.5625	0.1875	0.25	0
9999	4	5	27	0	0.5625	0.1875	0.25	0
10000	4	26	27	0	0.45	0.1	0.45	0
10001	11	0	0	0	1	0	0	0
10002	11	0	0	0	1	0	0	0
10003	11	0	0	0	1	0	0	0
10004	11	0	0	0	1	0	0	0
10005	4	26	27	0	0.45	0.1	0.45	0
10006	4	5	27	0	0.5625	0.1875	0.25	0
10007	4	5	27	0	0.5625	0.1875	0.25	0
10008	4	26	27	0	0.45	0.1	0.45	0
10009	11	0	0	0	1	0	0	0
10010	11	0	0	0	1	0	0	0
10011	11	0	0	0	1	0	0	0
10012	11	0	0	0	1	0	0	0
10013	4	26	27	0	0.45	0.1	0.45	0
10014	4	5	27	0	0.5625	0.1875	0.25	0
10015	4	5	27	0	0.5625	0.1875	0.25	0
10016	4	26	27	0	0.45	0.1	0.45	0
10017	11	0	0	0	1	0	0	0
10018	11	0	0	0	1	0	0	0
10019	11	0	0	0	1	0	0	0
10020	11	0	0	0	1	0	0	0
10021	4	26	27	0	0.45	0.1	0.45	0
10022	4	5	27	0	0.5625	0.1875	0.25	0
10023	4	5	27	0	0.5625	0.1875	0.25	0
10024	4	26	27	0	0.45	0.1	0.45	0
10025	11	0	0	0	1	0	0	0
10026	11	0	0	0	1	0	0	0
10027	11	0	0	0	1	0	0	0
10028	11	0	0	0	1	0	0	0
10029	4	5	27	0	0.5625	0.1875	0.25	0
10030	4	5	27	0	0.5625	0.1875	0.25	0
10031	4	5	27	0	0.5625	0.1875	0.25	0
10032	4	5	27	0	0.5625	0.1875	0.25	0
10033	11	0	0	0	1	0	0	0
10034	11	0	0	0	1	0	0	0
10035	11	0	0	0	1	0	0	0
10036	11	0	0	0	1	0	0	0
10037	4	5	0	0	0.5	0.5	0	0
10038	4	5	0	0	0.5	0.5	0	0
10039	4	5	27	0	0.5625	0.1875	0.25	0
10040	4	5	27	0	0.5625	0.1875	0.25	0
10041	11	0	0	0	1	0	0	0
10042	11	0	0	0	1	0	0	0
10043	11	0	0	0	1	0	0	0
10044	11	0	0	0	1	0	0	0
10045	4	5	27	0	0.5625	0.1875	0.25	0
10046	4	5	0	0	0.5	0.5	0	0
10047	4	5	0	0	0.5	0.5	0	0
10048	4	5	0	0	0.5	0.5	0	0
10049	11	0	0	0	1	0	0	0
10050	11	0	0	0	1	0	0	0
10051	11	0	0	0	1	0	0	0
10052	11	0	0	0	1	0	0	0
10053	11	0	0	0	1	0	0	0
10054	11	0	0	0	1	0	0	0
10055	11	0	0	0	1	0	0	0
10056	11	0	0	0	1	0	0	0
10057	11	0	0	0	1	0	0	0
10058	11	0	0	0	1	0	0	0
10059	11	0	0	0	1	0	0	0
10060	11	0	0	0	1	0	0	0
10061	4	5	27	0	0.5625	0.1875	0.25	0
10062	4	5	27	0	0.5625	0.1875	0.25	0
10063	4	5	0	0	0.5	0.5	0	0
10064	4	5	27	0	0.5625	0.1875	0.25	0
10065	4	5	27	0	0.5625	0.1875	0.25	0
10066	4	5	27	0	0.5625	0.1875	0.25	0
10067	4	5	27	0	0.5625	0.1875	0.25	0
10068	4	5	27	0	0.5625	0.1875	0.25	0
10069	4	5	27	0	0.5625	0.1875	0.25	0
10070	4	5	27	0	0.5625	0.1875	0.25	0
10071	4	5	27	0	0.5625	0.1875	0.25	0
10072	4	5	27	0	0.5625	0.1875	0.25	0
10073	4	5	27	0	0.5625	0.1875	0.25	0
10074	4	5	27	0	0.5625	0.1875	0.25	0
10075	4	5	27	0	0.5625	0.1875	0.25	0
10076	4	5	27	0	0.5625	0.1875	0.25	0
10077	4	5	27	0	0.5625	0.1875	0.25	0
10078	4	5	27	0	0.5625	0.1875	0.25	0
10079	4	5	27	0	0.5625	0.1875	0.25	0
10080	4	5	27	0	0.5625	0.1875	0.25	0
10081	11	0	0	0	1	0	0	0
10082	11	0	0	0	1	0	0	0
10083	11	0	0	0	1	0	0	0
10084	11	0	0	0	1	0	0	0
10085	4	5	27	0	0.5625	0.1875	0.25	0
10086	4	5	0	0	0.5	0.5	0	0
10087	4	5	27	0	0.5625	0.1875	0.25	0
10088	4	5	27	0	0.5625	0.1875	0.25	0
10089	4	5	0	0	0.5	0.5	0	0
10090	4	5	0	0	0.5	0.5	0	0
10091	4	5	0	0	0.5	0.5	0	0
